# ChemOrigins supplement for surface pond / wet-dry chemistry
# Generated from reference_reactions/ChemOrigins/extracted/chemorigins_reactions_full.tsv.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
pbr-000032 | surface_pond | hydrogen cyanide + Formaldehyde -> glycolonitrile | Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000032; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000032 | source_database
pbr-000735 | surface_pond | H2O + 4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2-thione -> 1-beta-d-arabinofuranosylcytosine | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000735; 10.1038/nchem.2664; A prebiotically plausible synthesis of pyrimidine β-ribonucleosides and their phosphate derivatives involving photoanomerization; https://chemorigins.bact.wisc.edu/reactions/pbr-000735 | source_database
pbr-000736 | surface_pond | 4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2-thione -> 4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2-thione | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000736; 10.1038/nchem.2664; A prebiotically plausible synthesis of pyrimidine β-ribonucleosides and their phosphate derivatives involving photoanomerization; https://chemorigins.bact.wisc.edu/reactions/pbr-000736 | source_database
pbr-000737 | surface_pond | pbm-000227 -> 1-beta-d-arabinofuranosylcytosine + H2O | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000737; 10.1038/nchem.2664; A prebiotically plausible synthesis of pyrimidine β-ribonucleosides and their phosphate derivatives involving photoanomerization; https://chemorigins.bact.wisc.edu/reactions/pbr-000737 | source_database
pbr-000738 | Oxazole pathway | 5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol + cyanoacetylene -> H2O + pbm-000227 | Sulfidic acid | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000738; 10.1038/nchem.2664; A prebiotically plausible synthesis of pyrimidine β-ribonucleosides and their phosphate derivatives involving photoanomerization; https://chemorigins.bact.wisc.edu/reactions/pbr-000738 | source_database
pbr-000739 | surface_pond | glycerin + Orthophosphate -> glycerol 1,2-cyclic phosphate | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry | ChemOrigins pbr-000739; 10.1038/nchem.2002; A spontaneously blinking fluorophore based on intramolecular spirocyclization for live-cell super-resolution imaging; https://chemorigins.bact.wisc.edu/reactions/pbr-000739 | source_database
pbr-000740 | surface_pond | glycerol 1,2-cyclic phosphate -> glycerophosphoric acid | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry | ChemOrigins pbr-000740; 10.1038/nchem.2002; A spontaneously blinking fluorophore based on intramolecular spirocyclization for live-cell super-resolution imaging; https://chemorigins.bact.wisc.edu/reactions/pbr-000740 | source_database
pbr-000741 | surface_pond | glycerol 1,2-cyclic phosphate -> beta-glycerophosphoric acid | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry | ChemOrigins pbr-000741; 10.1038/nchem.2002; A spontaneously blinking fluorophore based on intramolecular spirocyclization for live-cell super-resolution imaging; https://chemorigins.bact.wisc.edu/reactions/pbr-000741 | source_database
pbr-000742 | surface_pond | hydrogen cyanide + H2O -> Ammonia + Formaldehyde | Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000742; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000742 | source_database
pbr-000743 | surface_pond | Ammonia + hydrogen cyanide -> cyanamide | Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000743; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000743 | source_database
pbr-000744 | surface_pond | cyanamide + Glycolaldehyde -> pbm-000586 | Phosphate; Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000744; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000744 | source_database
pbr-000745 | surface_pond | Ammonia + pbm-000586 -> H2O + 1h-imidazol-2-amine | Phosphate; Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000745; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000745 | source_database
pbr-000746 | surface_pond | Formate + iron + 4,6-pyrimidinediamine, 5-nitroso- -> n-(4,6-diaminopyrimidin-5-yl)formamide + ferrous ion | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000746; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000746 | source_database
pbr-000747 | surface_pond | Formate + nickel + 4,6-pyrimidinediamine, 5-nitroso- -> n-(4,6-diaminopyrimidin-5-yl)formamide + Nickel(2+) | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000747; 10.1038/s41467-017-02639-1; Wet-dry cycles enable the parallel origin of canonical and non-canonical nucleosides by continuous synthesis; https://chemorigins.bact.wisc.edu/reactions/pbr-000747 | source_database
