# Titan atmosphere candidate reaction network v0
# Purpose: starting reaction list for a kinetic/SSA/ODE network.
# Not a single canonical literature network; compiled/synthesized from Titan photochemistry mechanisms.
# Sources to check for rates: Yung et al. 1984 ApJS; Clarke & Ferris 1997; Wilson & Atreya 2004; Loison et al. 2015; Pearce et al. 2020 CRAHCN.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

R001 | photolysis_electron_sources | N2 + hnu -> N(4S) + N(2D) | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R179 | nitrogen_nitrile_chemistry | C3N + H2 -> HC3N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R180 | nitrogen_nitrile_chemistry | C3N + CH4 -> HC3N + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R181 | nitrogen_nitrile_chemistry | C3N + C2H2 -> HC5N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R182 | nitrogen_nitrile_chemistry | C5N + H2 -> HC5N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R183 | nitrogen_nitrile_chemistry | C5N + C2H2 -> HC7N + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R184 | nitrogen_nitrile_chemistry | H2CN + H -> HCN + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R185 | nitrogen_nitrile_chemistry | H2CN + H -> H2 + CN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R186 | nitrogen_nitrile_chemistry | H2CN + M -> HCN + H + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R187 | nitrogen_nitrile_chemistry | H2CN + CH3 -> CH3CN + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R188 | nitrogen_nitrile_chemistry | H2CN + CN -> HCN + HCN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R189 | nitrogen_nitrile_chemistry | CH2NH + H -> H2CN + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R190 | nitrogen_nitrile_chemistry | CH2NH + CN -> HCN + H2CN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R191 | nitrogen_nitrile_chemistry | CHCN + H -> HCCN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R192 | nitrogen_nitrile_chemistry | CHCN + N -> C2N2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R193 | nitrogen_nitrile_chemistry | CHCN + CH3 -> CH3CN + CH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R194 | nitrogen_nitrile_chemistry | HCCN + H -> HCN + CH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R195 | nitrogen_nitrile_chemistry | HCCN + N -> C2N2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R196 | nitrogen_nitrile_chemistry | NH + H2 -> NH2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R197 | nitrogen_nitrile_chemistry | NH2 + H2 -> NH3 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R198 | nitrogen_nitrile_chemistry | NH + CH4 -> NH2 + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R199 | nitrogen_nitrile_chemistry | NH2 + CH3 -> CH3NH2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R200 | nitrogen_nitrile_chemistry | NH2 + H -> NH + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R201 | nitrogen_nitrile_chemistry | NH3 + H -> NH2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R202 | nitrogen_nitrile_chemistry | NH + CN -> HCN + N | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R203 | nitrogen_nitrile_chemistry | NH2 + CN -> HCN + NH | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R204 | nitrogen_nitrile_chemistry | HCN + H + M -> H2CN + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R205 | nitrogen_nitrile_chemistry | HCN + CH3 -> CH3CN + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R206 | nitrogen_nitrile_chemistry | HC3N + H -> C3N + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R207 | nitrogen_nitrile_chemistry | HC3N + CN -> C4N2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R208 | nitrogen_nitrile_chemistry | C2N2 + H -> HCN + CN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R209 | nitrogen_nitrile_chemistry | C4N2 + H -> HC3N + CN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R210 | nitrogen_nitrile_chemistry | CH3CN + H -> CH2CN + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R211 | nitrogen_nitrile_chemistry | CH2CN + H -> CH3CN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R212 | nitrogen_nitrile_chemistry | CH2CN + H -> HCN + CH3 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R213 | nitrogen_nitrile_chemistry | C2H3CN + H -> CH2CHCN + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R214 | nitrogen_nitrile_chemistry | C2H3CN + CN -> HC3N + H2CN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R215 | oxygen_minor_chemistry | H2O + H -> OH + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R216 | oxygen_minor_chemistry | OH + H2 -> H2O + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R217 | oxygen_minor_chemistry | OH + CH3 -> CO + 2 H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R218 | oxygen_minor_chemistry | OH + CH3 -> H2CO + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R219 | oxygen_minor_chemistry | OH + CO -> CO2 + H | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R220 | oxygen_minor_chemistry | OH + HCO -> CO + H2O | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
